Date,USPHCI,Boston,New York,Philadelphia,Cleveland,Richmond,Atlanta,Chicago,St. Louis,Minneapolis,Kansas City,Dallas,San Francisco,USPHCI_change
2005-07-01,94.68,0.1326244897959183,0.1223136363636363,0.2391673469387754,0.1844509803921568,0.2669421052631578,0.2179115384615384,0.2085153846153845,0.1670522727272727,0.1769211267605633,0.2030454545454544,0.17215,0.3177947368421052,0
2005-09-01,95.11,0.0896841269841269,0.1752951219512195,0.1704672413793103,0.0734737704918032,0.3377233333333332,0.1712792452830187,0.1840746478873239,0.1280132075471698,0.221660294117647,0.1411107692307692,0.0959844444444444,0.3324162162162162,0
2005-10-01,95.33,0.1070627450980392,0.1960720930232558,0.2404283333333333,0.1532054545454545,0.2705457627118643,-0.0956306122448979,0.1162029411764705,0.1544045454545454,0.1029014925373134,0.1195174603174603,0.0740940677966101,0.245145,0
2005-12-01,95.88,0.1886758064516129,0.239804347826087,0.1925928571428572,0.2152265306122449,0.2692946428571429,0.1968910714285714,0.1145984126984126,0.12068,0.1667757575757576,0.1614058823529411,0.1333446601941748,0.2979375,0
2006-01-01,96.21,0.3177799999999999,0.1965348837209302,0.2738211538461538,0.2385833333333333,0.2812683333333333,0.1923377049180327,0.1890275362318839,0.1100581395348837,0.1932796874999999,0.1009206349206349,0.1530307692307693,0.2746279069767442,0
2006-03-01,96.8,0.17808,0.2421555555555556,0.2280916666666667,0.0993384615384615,0.2773272727272727,0.1157873015873015,0.1379932432432432,0.1940541666666667,0.1017403225806451,0.1019030303030303,0.1452721153846153,0.2465076923076923,0
2006-05-01,97.3,0.1437701754385965,0.1174702127659574,0.2071377358490566,0.1428,0.1867032786885246,0.1358967213114753,0.1660086419753086,0.2116731707317073,0.1747262295081966,0.0787016666666666,0.1742285714285714,0.2393658536585365,0
2006-06-01,97.48,0.1599521739130435,0.1779547619047619,0.1896033898305084,0.1418694915254237,0.2228,0.0978301587301587,0.1415696202531645,0.1520304347826087,0.2127968253968253,0.098885,0.0959975609756097,0.2003199999999999,0
2006-07-01,97.66,0.1687413793103447,0.1811568181818182,0.1888980392156862,0.1049920634920634,0.1087637931034482,0.0846983050847457,0.1458626666666667,0.1551131578947368,0.1394144927536231,0.0742379310344827,0.0288872093023255,0.2356295454545454,0
2006-09-01,98.14,0.12995,0.0951928571428571,0.1302537037037037,0.1373186440677966,0.0623119402985074,0.0432981818181818,0.1743130434782608,0.1316191489361702,0.1510999999999999,0.1354237288135593,0.0460537634408601,0.2055904761904761,0
2006-10-01,98.31,0.1331754385964912,0.1237829268292683,0.2109960784313724,0.0910548387096774,0.1195485714285713,0.1698545454545455,0.1346701492537313,0.1645947368421053,0.1467470588235293,0.1614688524590163,0.1889977011494252,0.1500142857142857,0
2006-12-01,98.78,0.189616883116883,0.1759931818181818,0.194851724137931,0.1268090909090909,0.1409683333333333,0.10844,0.1098657142857142,0.1534212765957447,0.2080492063492063,0.1832849999999999,0.1230358695652173,0.1977644444444444,0
2007-01-01,98.97,0.1472633333333333,0.092068085106383,0.2172462962962962,0.1485619718309859,0.2396920634920634,0.2269749999999999,0.1037463768115942,0.15826,0.1036516666666666,0.1634771428571428,0.1530311111111111,0.2909044444444444,0
2007-03-01,99.51,0.0770638888888888,0.104195652173913,0.1279830188679245,0.1217234374999999,0.0942650793650793,0.108475,0.1111133333333333,0.1901239130434782,0.0864784615384615,0.089675,0.1353636363636363,0.1625875,0
2007-05-01,99.94,0.1203761904761905,0.1562113636363636,0.2076520833333333,0.1477854838709677,0.062225,0.0941744680851063,0.0708415384615384,0.2370904761904762,0.133186567164179,0.1814213114754098,0.2018903225806452,0.1602214285714286,0
