District,compound_score,mean_sentiment,median_sentiment,IQR_sentiment,sentiment_trigram,variance_sentiment,econ_index_change_dummy
1,0.9991,0.2103481481481481,0.2023,0.430775,0.0,0.1354449858299039,1
12,0.9966,0.1199366666666666,0.1779,0.468,0.2721619047619047,0.1050032489888888,1
12,0.9977,0.2055904761904761,0.2263,0.4215,0.3449066666666666,0.0907950660997732,1
10,0.9966,0.0988367647058823,0.0,0.5098,0.1999111111111111,0.1380746287954152,1
5,0.9951,0.047685,0.0,0.2631,0.0,0.126834205275,1
3,0.9997,0.2953266666666667,0.3818,0.59265,0.4432999999999999,0.1190480488888889,1
7,0.9984,0.1683847457627118,0.0,0.42855,-0.0509499999999999,0.1102838395978167,1
2,0.9865,0.1304388888888888,0.1779,0.5616,0.0,0.1038286457098765,1
9,0.9993,0.2655305084745763,0.3182,0.51465,0.0,0.1071725672048262,1
4,0.9801,0.0510490196078431,0.0,0.5096,0.0164666666666666,0.0998182401460976,0
7,0.9646,0.0508824561403508,0.0,0.378,0.0785666666666666,0.1267815667097568,1
13,0.9928,0.0553138461538461,0.0,0.5157,0.0,0.1126605261159763,1
6,0.9852,0.0862413043478261,0.0,0.5107999999999999,0.1190388888888888,0.1223345828591681,1
4,-0.9977,-0.1461166666666666,0.0,0.4019,-0.0073333333333333,0.1041163743518518,0
7,0.9904,0.0830392857142857,0.0,0.50875,0.1529333333333333,0.1015766830994897,1
11,0.9962,0.1065694117647058,0.0,0.5299,0.1561666666666666,0.1372561355349481,1
13,0.9978,0.1618659574468085,0.0,0.43095,0.0,0.135960621819828,1
5,0.9487,0.01586,0.0,0.663125,0.0,0.1370042854,0
11,0.999,0.1230358695652173,0.1027,0.4455249999999999,-0.0644333333333333,0.1408353644742438,1
10,0.9991,0.2210193548387095,0.2732,0.4565249999999999,0.3289222222222222,0.1073443505931321,1
2,0.9978,0.1382515625,0.0,0.35325,0.0510333333333333,0.0863137340600585,1
3,0.9976,0.1790849999999999,0.0,0.355475,-0.0169333333333333,0.080928716275,1
1,0.9955,0.1183576923076923,0.0,0.420075,-0.1178333333333333,0.1082437697485207,0
1,0.9957,0.0993797297297297,0.0,0.432925,0.0265291666666666,0.1235948237783053,0
11,0.9891,0.0432360655737704,0.0,0.6536,0.1661777777777777,0.1305309236173071,1
9,0.9973,0.2514811320754718,0.3804,0.5106,0.2123,0.1186325003987184,1
